h,no,va,vo,g
LS,28,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 70, 'ruido': 36, 'int_luminosa': 430}",0.57585
LS,29,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 44, 'ruido': 64, 'int_luminosa': 333}",0.5767
LS,30,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 61, 'ruido': 36, 'int_luminosa': 626}",0.5771
LS,1,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 46, 'int_luminosa': 616}",0.59335
LS,2,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 64, 'int_luminosa': 704}",0.59335
LS,3,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 48, 'int_luminosa': 514}",0.59335
LS,4,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 51, 'ruido': 59, 'int_luminosa': 803}",0.58665
LS,5,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 40, 'int_luminosa': 583}",0.59335
LS,6,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 44, 'ruido': 50, 'int_luminosa': 618}",0.59
LS,7,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 45, 'ruido': 46, 'int_luminosa': 971}",0.5933
LS,8,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 43, 'ruido': 45, 'int_luminosa': 450}",0.59
LS,9,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 49, 'ruido': 62, 'int_luminosa': 439}",0.59335
LS,10,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 52, 'ruido': 33, 'int_luminosa': 933}",0.59335
LS,11,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 59, 'ruido': 58, 'int_luminosa': 465}",0.58335
LS,12,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 58, 'int_luminosa': 798}",0.59335
LS,13,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 58, 'ruido': 51, 'int_luminosa': 905}",0.59335
LS,14,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 64, 'int_luminosa': 937}",0.59335
LS,15,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 46, 'ruido': 61, 'int_luminosa': 743}",0.59
LS,16,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 67, 'ruido': 56, 'int_luminosa': 635}",0.59335
LS,17,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 59, 'ruido': 52, 'int_luminosa': 321}",0.5867
LS,18,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 70, 'ruido': 45, 'int_luminosa': 730}",0.59335
LS,19,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 45, 'ruido': 43, 'int_luminosa': 726}",0.58335
LS,20,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 32, 'int_luminosa': 809}",0.59335
LS,21,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 61, 'ruido': 40, 'int_luminosa': 354}",0.5933
LS,22,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 47, 'ruido': 59, 'int_luminosa': 504}",0.5767
LS,23,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 33, 'int_luminosa': 619}",0.59335
LS,24,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 22, 'humedad': 42, 'ruido': 38, 'int_luminosa': 454}",0.59335
LS,25,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 35, 'int_luminosa': 664}",0.59335
LS,26,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 46, 'int_luminosa': 371}",0.59335
LS,27,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 43, 'ruido': 45, 'int_luminosa': 880}",0.59
LS,28,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 67, 'ruido': 40, 'int_luminosa': 836}",0.59335
LS,29,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 43, 'ruido': 43, 'int_luminosa': 745}",0.59
LS,30,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 52, 'int_luminosa': 469}",0.59335
