h,no,va,vo,g
GA,22,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 50, 'int_luminosa': 554}",0.59335
GA,23,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 36, 'int_luminosa': 554}",0.59335
GA,24,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 30, 'int_luminosa': 371}",0.59335
GA,25,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 46, 'int_luminosa': 465}",0.59335
GA,26,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 31, 'int_luminosa': 788}",0.59335
GA,27,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 36, 'int_luminosa': 884}",0.59335
GA,28,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 41, 'int_luminosa': 785}",0.59335
GA,29,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 44, 'int_luminosa': 682}",0.59335
GA,30,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 42, 'int_luminosa': 714}",0.59335
GA,1,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,2,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,3,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 57, 'ruido': 59, 'int_luminosa': 739}",0.646
GA,4,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 59, 'int_luminosa': 743}",0.64625
GA,5,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,6,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 57, 'ruido': 59, 'int_luminosa': 741}",0.6464
GA,7,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,8,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 57, 'ruido': 59, 'int_luminosa': 741}",0.6464
GA,9,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 57, 'ruido': 59, 'int_luminosa': 738}",0.64575
GA,10,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 59, 'int_luminosa': 738}",0.64575
GA,11,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,12,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,13,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 59, 'int_luminosa': 743}",0.64625
GA,14,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
GA,15,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 59, 'int_luminosa': 741}",0.6464
GA,16,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 59, 'int_luminosa': 743}",0.64625
GA,17,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 57, 'ruido': 59, 'int_luminosa': 743}",0.64625
GA,18,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 57, 'ruido': 58, 'int_luminosa': 743}",0.64595
GA,19,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 59, 'int_luminosa': 741}",0.6464
GA,20,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
