h,no,va,vo,g
AL,21,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 43, 'ruido': 56, 'int_luminosa': 483}",0.59
AL,22,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 43, 'ruido': 50, 'int_luminosa': 561}",0.59
AL,23,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 45, 'int_luminosa': 925}",0.59335
AL,24,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 22, 'humedad': 42, 'ruido': 51, 'int_luminosa': 542}",0.59335
AL,25,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 33, 'int_luminosa': 936}",0.59335
AL,26,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 56, 'int_luminosa': 785}",0.5933
AL,27,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 45, 'ruido': 45, 'int_luminosa': 404}",0.58335
AL,28,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 22, 'humedad': 42, 'ruido': 57, 'int_luminosa': 555}",0.59335
AL,29,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 53, 'int_luminosa': 882}",0.59335
AL,30,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 41, 'int_luminosa': 355}",0.59335
AL,1,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 57, 'ruido': 39, 'int_luminosa': 683}",0.62805
AL,2,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 56, 'ruido': 55, 'int_luminosa': 636}",0.62015
AL,3,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 61, 'ruido': 47, 'int_luminosa': 719}",0.6248
AL,4,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 54, 'ruido': 50, 'int_luminosa': 734}",0.6346
AL,5,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 58, 'ruido': 55, 'int_luminosa': 685}",0.6299
AL,6,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 59, 'ruido': 43, 'int_luminosa': 756}",0.63005
AL,7,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 59, 'ruido': 37, 'int_luminosa': 749}",0.6309
AL,8,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 62, 'ruido': 38, 'int_luminosa': 734}",0.62205
AL,9,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 53, 'ruido': 60, 'int_luminosa': 719}",0.63005
AL,10,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 62, 'ruido': 47, 'int_luminosa': 750}",0.62345
AL,11,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 59, 'ruido': 54, 'int_luminosa': 705}",0.63055
AL,12,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 58, 'ruido': 50, 'int_luminosa': 718}",0.6355
AL,13,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 54, 'ruido': 62, 'int_luminosa': 733}",0.63275
AL,14,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 51, 'ruido': 59, 'int_luminosa': 751}",0.628
AL,15,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 51, 'ruido': 53, 'int_luminosa': 681}",0.61645
AL,16,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 55, 'ruido': 58, 'int_luminosa': 663}",0.6243
AL,17,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 56, 'ruido': 39, 'int_luminosa': 664}",0.62145
AL,18,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 57, 'ruido': 41, 'int_luminosa': 692}",0.63055
AL,19,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 56, 'ruido': 65, 'int_luminosa': 722}",0.6312
AL,20,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 42, 'int_luminosa': 690}",0.63045
AL,21,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 54, 'ruido': 64, 'int_luminosa': 728}",0.62885
AL,22,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 54, 'int_luminosa': 695}",0.6351
AL,23,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 55, 'ruido': 63, 'int_luminosa': 752}",0.6321
AL,24,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 58, 'ruido': 55, 'int_luminosa': 747}",0.64025
AL,25,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 54, 'ruido': 38, 'int_luminosa': 742}",0.63275
AL,26,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 55, 'ruido': 41, 'int_luminosa': 756}",0.63105
AL,27,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 57, 'ruido': 54, 'int_luminosa': 688}",0.6336
AL,28,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 58, 'ruido': 59, 'int_luminosa': 686}",0.6313
AL,29,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 56, 'ruido': 37, 'int_luminosa': 710}",0.6307
AL,30,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 53, 'ruido': 65, 'int_luminosa': 737}",0.62675
