h,no,va,vo,g
TS,4,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 59, 'ruido': 44, 'int_luminosa': 726}",0.6321
TS,5,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 57, 'ruido': 56, 'int_luminosa': 782}",0.63105
TS,6,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 56, 'ruido': 45, 'int_luminosa': 752}",0.63625
TS,7,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 59, 'int_luminosa': 719}",0.6417
TS,8,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 56, 'ruido': 49, 'int_luminosa': 746}",0.63965
TS,9,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 55, 'ruido': 35, 'int_luminosa': 736}",0.63315
TS,10,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 57, 'ruido': 52, 'int_luminosa': 707}",0.63705
TS,11,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 58, 'ruido': 48, 'int_luminosa': 743}",0.63965
TS,12,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 57, 'ruido': 46, 'int_luminosa': 741}",0.6426
TS,13,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 60, 'ruido': 64, 'int_luminosa': 741}",0.62925
TS,14,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 56, 'ruido': 62, 'int_luminosa': 736}",0.6385
TS,15,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 56, 'ruido': 65, 'int_luminosa': 747}",0.63365
TS,16,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 56, 'ruido': 57, 'int_luminosa': 732}",0.6413
TS,17,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 54, 'ruido': 58, 'int_luminosa': 754}",0.63425
TS,18,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 54, 'ruido': 47, 'int_luminosa': 740}",0.635
TS,19,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 53, 'ruido': 56, 'int_luminosa': 707}",0.62805
TS,20,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 60, 'int_luminosa': 751}",0.64185
TS,21,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 59, 'ruido': 53, 'int_luminosa': 745}",0.63705
TS,22,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 59, 'ruido': 55, 'int_luminosa': 731}",0.6364
TS,23,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 57, 'ruido': 61, 'int_luminosa': 707}",0.63625
TS,24,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 55, 'ruido': 52, 'int_luminosa': 777}",0.6266
TS,25,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 56, 'ruido': 57, 'int_luminosa': 727}",0.64025
TS,26,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 56, 'ruido': 57, 'int_luminosa': 746}",0.642
TS,27,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 56, 'ruido': 50, 'int_luminosa': 744}",0.6407
TS,28,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 56, 'ruido': 37, 'int_luminosa': 713}",0.63135
TS,29,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 54, 'ruido': 55, 'int_luminosa': 713}",0.63155
TS,30,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 56, 'ruido': 40, 'int_luminosa': 735}",0.63695
